tagger,corpus,tagset,config options,metric,min,max,mean,std
skLinearSVC,oana-cs.xml,mte,"[-1, 0]",training_time,1059.99963498,1074.84576035,1067.7599313,4.74405367384
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",accuracy,0.682056279693,0.710804118337,0.698835635515,0.00783768141679
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",f1,0.507406536562,0.542272551795,0.526232690709,0.0100818374951
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",oov,-1,-1,-1.0,0.0
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",precision,0.511616880038,0.548412285268,0.532520379175,0.0104213887121
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",prediction_time,0.241217851639,0.482220172882,0.305930709839,0.0712045311357
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",recall,0.503264925373,0.53626877068,0.520094029027,0.00980739323482
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0, 1, 2]",training_time,351.856735468,361.476534128,355.533178186,3.29833693904
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0]",accuracy,0.699476184675,0.722403232113,0.714299136339,0.00604294035064
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0]",f1,0.545087323274,0.571136914636,0.562914443025,0.00772302470029
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0]",oov,-1,-1,-1.0,0.0
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0]",precision,0.555582465488,0.58223162348,0.574728393607,0.00783452624038
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0]",prediction_time,0.189379930496,0.411165952682,0.26839389801,0.0665254541056
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0]",recall,0.534981343284,0.561746987952,0.551581334094,0.0077907158943
skLinearSVC,oana-cs.xml,mte,"[-2, -1, 0]",training_time,548.630644321,583.639179707,571.768528247,9.3204254305
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",accuracy,0.66329638202,0.690994395934,0.680073911719,0.0071998517806
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",f1,0.474496958353,0.511085479944,0.494193553984,0.00982185559472
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",oov,-1,-1,-1.0,0.0
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",precision,0.476056338028,0.514713474445,0.498040825125,0.0103022692555
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",prediction_time,0.259003162384,0.659182310104,0.413286733627,0.128362552713
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",recall,0.472947761194,0.507508271825,0.49040876327,0.00942361411581
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",training_time,329.147174358,339.496499062,335.498105383,3.07910610455
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0]",accuracy,0.692167133634,0.719796689691,0.706925459044,0.00729693091434
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0]",f1,0.530820293978,0.563777490298,0.54848315583,0.00993509054145
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0]",oov,-1,-1,-1.0,0.0
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0]",precision,0.539778206365,0.573270192055,0.559037414451,0.00971976813272
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0]",prediction_time,0.214945554733,0.588966608047,0.373193573952,0.110373237977
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0]",recall,0.522154850746,0.554594044286,0.538324319591,0.0102230801482
skLinearSVC,oana-cs.xml,mte,"[-3, -2, -1, 0]",training_time,476.422089815,497.668065071,486.901073909,6.73934272595
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2, 3]",accuracy,0.695699841637,0.716799165906,0.707040875647,0.00559441357814
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2, 3]",f1,0.537695590327,0.5630916872,0.552767366277,0.00729835787856
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2, 3]",oov,-1,-1,-1.0,0.0
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2, 3]",precision,0.546769527483,0.574034902168,0.564077285014,0.00786814878198
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2, 3]",prediction_time,0.242186546326,0.585031986237,0.406654477119,0.106372766251
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2, 3]",recall,0.528917910448,0.552557902774,0.54190514598,0.00686347346529
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2, 3]",training_time,450.93840313,456.728055954,453.170170546,1.74616995724
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2]",accuracy,0.698867097089,0.724358138929,0.713129808181,0.00702753584854
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2]",f1,0.544115900724,0.576808206726,0.563413589306,0.00882056860986
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2]",oov,-1,-1,-1.0,0.0
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2]",precision,0.554318896685,0.588812301166,0.575848193272,0.00924998045733
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2]",prediction_time,0.191056966782,0.408538103104,0.248656272888,0.05960829546
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2]",recall,0.534281716418,0.565283787223,0.551507690007,0.00850951520426
skLinearSVC,oana-cs.xml,mte,"[0, 1, 2]",training_time,533.696848631,565.083038568,545.638952684,10.0868573541
skLinearSVC,oana-cs.xml,mte,"[0, 1]",accuracy,0.708977951029,0.727095008471,0.71947973372,0.00565458532158
skLinearSVC,oana-cs.xml,mte,"[0, 1]",f1,0.555330553901,0.578882294758,0.570273449355,0.00729552008297
skLinearSVC,oana-cs.xml,mte,"[0, 1]",oov,-1,-1,-1.0,0.0
skLinearSVC,oana-cs.xml,mte,"[0, 1]",precision,0.567567567568,0.593108690144,0.584531858133,0.00746096333422
skLinearSVC,oana-cs.xml,mte,"[0, 1]",prediction_time,0.176218509674,0.268100500107,0.207462239265,0.0279695597433
skLinearSVC,oana-cs.xml,mte,"[0, 1]",recall,0.543610074627,0.565322385897,0.556697426056,0.0072629377796
skLinearSVC,oana-cs.xml,mte,"[0, 1]",training_time,914.620537758,939.378807783,930.117486787,7.3405556055
skLinearSVC,oana-cs.xml,mte,[0],accuracy,0.703008892679,0.721621269386,0.713385838267,0.0054784830164
skLinearSVC,oana-cs.xml,mte,[0],f1,0.55023633499,0.572657139244,0.564109199216,0.00722171829516
skLinearSVC,oana-cs.xml,mte,[0],oov,-1,-1,-1.0,0.0
skLinearSVC,oana-cs.xml,mte,[0],precision,0.572798385062,0.595319484617,0.587928622668,0.00718670346557
skLinearSVC,oana-cs.xml,mte,[0],prediction_time,0.152091026306,0.20418715477,0.179816007614,0.0130065601805
skLinearSVC,oana-cs.xml,mte,[0],recall,0.529384328358,0.551656920078,0.54214862838,0.00736513263635
skLinearSVC,oana-cs.xml,mte,[0],training_time,1530.52444482,1556.77247167,1542.09803932,9.99625825558
skMultinomialNB,oana-cs.xml,mte,"[-1, 0, 1]",accuracy,0.506639054696,0.526912550502,0.516563729779,0.00602717611454
skMultinomialNB,oana-cs.xml,mte,"[-1, 0, 1]",f1,0.283143507973,0.309914804297,0.298309537979,0.00688797090966
skMultinomialNB,oana-cs.xml,mte,"[-1, 0, 1]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-cs.xml,mte,"[-1, 0, 1]",precision,275,0.300959232614,0.28973537675,0.00672628675124
skMultinomialNB,oana-cs.xml,mte,"[-1, 0, 1]",prediction_time,0.61717581749,1.30242824554,0.925927066803,0.191023220215
