tagger,corpus,tagset,config options,metric,min,max,mean,std
skMultinomialNB,oana-en.xml,mte,"[-1, 0]",recall,0.564197530864,0.599744245524,0.581835750975,0.0109033134492
skMultinomialNB,oana-en.xml,mte,"[-1, 0]",precision,0.885148514851,0.94045174538,0.916609465034,0.013997455274
skMultinomialNB,oana-en.xml,mte,"[-1, 0]",f1,0.697177726926,0.728826728827,0.711758296773,0.0103545036232
skMultinomialNB,oana-en.xml,mte,"[-1, 0]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-en.xml,mte,"[-1, 0]",training_time,3.24754309654,6.46546983719,4.0635915041,0.86878974396
skMultinomialNB,oana-en.xml,mte,"[-1, 0]",prediction_time,10.7690355778,13.3628008366,12.5135159016,0.667729738482
skMultinomialNB,oana-en.xml,mte,"[3, 2, 1, 0]",accuracy,0.679303377273,0.689871016692,0.685781305996,0.00358629252598
skMultinomialNB,oana-en.xml,mte,"[3, 2, 1, 0]",recall,0.567901234568,0.606369426752,0.589904368276,0.0132474601359
skMultinomialNB,oana-en.xml,mte,"[3, 2, 1, 0]",precision,0.826325411335,0.882352941176,0.862635784711,0.018221736553
skMultinomialNB,oana-en.xml,mte,"[3, 2, 1, 0]",f1,0.675973548861,0.71373752878,0.700585534063,0.0133960276798
skMultinomialNB,oana-en.xml,mte,"[3, 2, 1, 0]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-en.xml,mte,"[3, 2, 1, 0]",training_time,5.18161416054,7.40597176552,6.47053968906,0.624916750618
skMultinomialNB,oana-en.xml,mte,"[3, 2, 1, 0]",prediction_time,10.4479501247,15.4599144459,12.1813017368,1.30019686371
skMultinomialNB,oana-en.xml,mte,"[2, 1, 0]",accuracy,0.68392187049,0.692375712321,0.688799645349,0.00286946692563
skMultinomialNB,oana-en.xml,mte,"[2, 1, 0]",recall,0.554292929293,0.583120204604,0.571910206724,0.010128414644
skMultinomialNB,oana-en.xml,mte,"[2, 1, 0]",precision,0.852490421456,0.905432595573,0.884314892586,0.0172553907199
skMultinomialNB,oana-en.xml,mte,"[2, 1, 0]",f1,0.677153558052,0.707909162099,0.694532102499,0.0107818914386
skMultinomialNB,oana-en.xml,mte,"[2, 1, 0]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-en.xml,mte,"[2, 1, 0]",training_time,4.27999091148,6.397544384,5.23130249977,0.58313796453
skMultinomialNB,oana-en.xml,mte,"[2, 1, 0]",prediction_time,10.2270619869,14.7981352806,11.861108923,1.36235886609
skMultinomialNB,oana-en.xml,mte,"[1, 0]",accuracy,0.679670126019,0.688216591194,0.684821440696,0.00298370096001
skMultinomialNB,oana-en.xml,mte,"[1, 0]",recall,0.497530864198,0.531969309463,0.519641058683,0.0105134465855
skMultinomialNB,oana-en.xml,mte,"[1, 0]",precision,0.895299145299,0.952380952381,0.922162961058,0.0160534659472
skMultinomialNB,oana-en.xml,mte,"[1, 0]",f1,0.640699523052,0.675873273761,0.664612438353,0.00979639724718
skMultinomialNB,oana-en.xml,mte,"[1, 0]",oov,-1,-1,-1.0,0.0
skMultinomialNB,oana-en.xml,mte,"[1, 0]",training_time,2.87995529175,5.18922376633,3.88193016052,0.63823669493
skMultinomialNB,oana-en.xml,mte,"[1, 0]",prediction_time,10.4939491749,14.168115139,11.9701693773,1.01071902314
skLinearSVC,oana-en.xml,mte,[0],accuracy,0.611979935084,0.620965410926,0.616057585644,0.00270621947313
skLinearSVC,oana-en.xml,mte,[0],recall,0.254150702427,0.265984654731,0.259591891732,0.00452212894624
skLinearSVC,oana-en.xml,mte,[0],precision,0.925581395349,0.967441860465,0.945722358296,0.0103179777037
skLinearSVC,oana-en.xml,mte,[0],f1,0.39879759519,0.417251755266,0.407350566645,0.00612617584652
skLinearSVC,oana-en.xml,mte,[0],oov,-1,-1,-1.0,0.0
skLinearSVC,oana-en.xml,mte,[0],training_time,490.550817966,513.332150936,509.370187593,6.39757565096
skLinearSVC,oana-en.xml,mte,[0],prediction_time,2.91838264465,11.4179859161,7.84950211048,2.99923957557
skLinearSVC,oana-en.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",accuracy,0.598447632148,0.613996352117,0.607434335354,0.00480605692009
skLinearSVC,oana-en.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",recall,0.721166032953,0.746134020619,0.731134764482,0.00751286074985
skLinearSVC,oana-en.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",precision,0.77688172043,0.806052269601,0.790104911113,0.0112359659932
skLinearSVC,oana-en.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",f1,0.751651254954,0.774581939799,0.759429053638,0.00716682897336
skLinearSVC,oana-en.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",oov,-1,-1,-1.0,0.0
skLinearSVC,oana-en.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",training_time,112.664081335,116.709756374,114.721943307,1.45928513386
skLinearSVC,oana-en.xml,mte,"[-3, -2, -1, 0, 1, 2, 3]",prediction_time,7.32063674927,15.7772545815,10.61889081,2.67180509726
skLinearSVC,oana-en.xml,mte,"[-2, -1, 0, 1, 2]",accuracy,0.604637453331,0.622732072574,0.616372575847,0.00483877719943
